Combination,Annualized Return,Benchmark Relative,Standard Deviation,Maximum Drawdown
"MSTY:40%, JEPQ:35%, SCHD:5%, SCHY:20%",63.1,45.7,33.1,13.8
"MSTY:40%, JEPQ:35%, SCHD:10%, SCHY:15%",62.5,45.1,33.2,13.8
"MSTY:40%, JEPQ:35%, SCHD:15%, SCHY:10%",61.8,44.5,33.2,13.9
"MSTY:40%, JEPQ:35%, SCHD:20%, SCHY:5%",61.2,43.9,33.2,14.0
"MSTY:40%, JEPQ:35%, SCHD:25%, SCHY:0%",60.6,43.3,33.3,14.0
"MSTY:40%, JEPQ:40%, SCHD:0%, SCHY:20%",63.3,45.9,33.3,13.6
"MSTY:40%, JEPQ:40%, SCHD:5%, SCHY:15%",62.6,45.3,33.3,13.7
"MSTY:40%, JEPQ:40%, SCHD:10%, SCHY:10%",62.0,44.7,33.3,13.8
"MSTY:40%, JEPQ:40%, SCHD:15%, SCHY:5%",61.4,44.1,33.4,13.9
"MSTY:40%, JEPQ:40%, SCHD:20%, SCHY:0%",60.8,43.5,33.4,13.9
"MSTY:40%, JEPQ:45%, SCHD:0%, SCHY:15%",62.8,45.5,33.4,13.6
"MSTY:40%, JEPQ:45%, SCHD:5%, SCHY:10%",62.2,44.9,33.4,13.7
"MSTY:40%, JEPQ:45%, SCHD:10%, SCHY:5%",61.6,44.3,33.5,13.8
"MSTY:40%, JEPQ:45%, SCHD:15%, SCHY:0%",61.0,43.7,33.5,13.8
"MSTY:40%, JEPQ:50%, SCHD:0%, SCHY:10%",62.4,45.1,33.6,13.6
"MSTY:40%, JEPQ:50%, SCHD:5%, SCHY:5%",61.8,44.5,33.6,13.7
"MSTY:40%, JEPQ:50%, SCHD:10%, SCHY:0%",61.2,43.9,33.7,13.7
"MSTY:40%, JEPQ:55%, SCHD:0%, SCHY:5%",62.0,44.7,33.8,13.6
"MSTY:40%, JEPQ:55%, SCHD:5%, SCHY:0%",61.4,44.1,33.8,13.6
"MSTY:40%, JEPQ:60%, SCHD:0%, SCHY:0%",61.6,44.3,34.0,13.5
"MSTY:45%, JEPQ:0%, SCHD:0%, SCHY:55%",72.6,55.3,35.8,15.0
"MSTY:45%, JEPQ:0%, SCHD:5%, SCHY:50%",72.0,54.6,35.7,15.1
"MSTY:45%, JEPQ:0%, SCHD:10%, SCHY:45%",71.4,54.0,35.7,15.2
"MSTY:45%, JEPQ:0%, SCHD:15%, SCHY:40%",70.7,53.4,35.7,15.3
"MSTY:45%, JEPQ:0%, SCHD:20%, SCHY:35%",70.1,52.8,35.7,15.3
"MSTY:45%, JEPQ:0%, SCHD:25%, SCHY:30%",69.5,52.2,35.7,15.4
"MSTY:45%, JEPQ:0%, SCHD:30%, SCHY:25%",68.9,51.6,35.7,15.5
"MSTY:45%, JEPQ:0%, SCHD:35%, SCHY:20%",68.3,51.0,35.7,15.5
"MSTY:45%, JEPQ:0%, SCHD:40%, SCHY:15%",67.7,50.3,35.7,15.6
"MSTY:45%, JEPQ:0%, SCHD:45%, SCHY:10%",67.1,49.7,35.8,15.7
"MSTY:45%, JEPQ:0%, SCHD:50%, SCHY:5%",66.4,49.1,35.8,15.7
"MSTY:45%, JEPQ:0%, SCHD:55%, SCHY:0%",65.8,48.5,35.9,15.8
"MSTY:45%, JEPQ:5%, SCHD:0%, SCHY:50%",72.2,54.8,35.8,15.0
"MSTY:45%, JEPQ:5%, SCHD:5%, SCHY:45%",71.6,54.2,35.8,15.1
"MSTY:45%, JEPQ:5%, SCHD:10%, SCHY:40%",70.9,53.6,35.7,15.2
"MSTY:45%, JEPQ:5%, SCHD:15%, SCHY:35%",70.3,53.0,35.7,15.2
"MSTY:45%, JEPQ:5%, SCHD:20%, SCHY:30%",69.7,52.4,35.7,15.3
"MSTY:45%, JEPQ:5%, SCHD:25%, SCHY:25%",69.1,51.8,35.7,15.4
"MSTY:45%, JEPQ:5%, SCHD:30%, SCHY:20%",68.5,51.2,35.7,15.4
"MSTY:45%, JEPQ:5%, SCHD:35%, SCHY:15%",67.9,50.5,35.8,15.5
"MSTY:45%, JEPQ:5%, SCHD:40%, SCHY:10%",67.3,49.9,35.8,15.6
"MSTY:45%, JEPQ:5%, SCHD:45%, SCHY:5%",66.6,49.3,35.9,15.6
"MSTY:45%, JEPQ:5%, SCHD:50%, SCHY:0%",66.0,48.7,35.9,15.7
"MSTY:45%, JEPQ:10%, SCHD:0%, SCHY:45%",71.7,54.4,35.8,15.0
"MSTY:45%, JEPQ:10%, SCHD:5%, SCHY:40%",71.1,53.8,35.8,15.1
"MSTY:45%, JEPQ:10%, SCHD:10%, SCHY:35%",70.5,53.2,35.8,15.1
"MSTY:45%, JEPQ:10%, SCHD:15%, SCHY:30%",69.9,52.6,35.8,15.2
"MSTY:45%, JEPQ:10%, SCHD:20%, SCHY:25%",69.3,52.0,35.8,15.3
"MSTY:45%, JEPQ:10%, SCHD:25%, SCHY:20%",68.7,51.4,35.8,15.3
"MSTY:45%, JEPQ:10%, SCHD:30%, SCHY:15%",68.1,50.7,35.8,15.4
"MSTY:45%, JEPQ:10%, SCHD:35%, SCHY:10%",67.5,50.1,35.9,15.5
"MSTY:45%, JEPQ:10%, SCHD:40%, SCHY:5%",66.8,49.5,35.9,15.5
"MSTY:45%, JEPQ:10%, SCHD:45%, SCHY:0%",66.2,48.9,36.0,15.6
"MSTY:45%, JEPQ:15%, SCHD:0%, SCHY:40%",71.3,54.0,35.9,15.0
"MSTY:45%, JEPQ:15%, SCHD:5%, SCHY:35%",70.7,53.4,35.8,15.0
"MSTY:45%, JEPQ:15%, SCHD:10%, SCHY:30%",70.1,52.8,35.8,15.1
"MSTY:45%, JEPQ:15%, SCHD:15%, SCHY:25%",69.5,52.2,35.8,15.2
"MSTY:45%, JEPQ:15%, SCHD:20%, SCHY:20%",68.9,51.5,35.9,15.2
"MSTY:45%, JEPQ:15%, SCHD:25%, SCHY:15%",68.3,50.9,35.9,15.3
"MSTY:45%, JEPQ:15%, SCHD:30%, SCHY:10%",67.6,50.3,35.9,15.4
"MSTY:45%, JEPQ:15%, SCHD:35%, SCHY:5%",67.0,49.7,36.0,15.4
"MSTY:45%, JEPQ:15%, SCHD:40%, SCHY:0%",66.4,49.1,36.0,15.5
"MSTY:45%, JEPQ:20%, SCHD:0%, SCHY:35%",70.9,53.6,35.9,14.9
"MSTY:45%, JEPQ:20%, SCHD:5%, SCHY:30%",70.3,53.0,35.9,15.0
"MSTY:45%, JEPQ:20%, SCHD:10%, SCHY:25%",69.7,52.4,35.9,15.1
"MSTY:45%, JEPQ:20%, SCHD:15%, SCHY:20%",69.1,51.7,35.9,15.1
"MSTY:45%, JEPQ:20%, SCHD:20%, SCHY:15%",68.5,51.1,36.0,15.2
"MSTY:45%, JEPQ:20%, SCHD:25%, SCHY:10%",67.8,50.5,36.0,15.3
"MSTY:45%, JEPQ:20%, SCHD:30%, SCHY:5%",67.2,49.9,36.0,15.3
"MSTY:45%, JEPQ:20%, SCHD:35%, SCHY:0%",66.6,49.3,36.1,15.4
"MSTY:45%, JEPQ:25%, SCHD:0%, SCHY:30%",70.5,53.2,36.0,14.9
"MSTY:45%, JEPQ:25%, SCHD:5%, SCHY:25%",69.9,52.6,36.0,15.0
"MSTY:45%, JEPQ:25%, SCHD:10%, SCHY:20%",69.3,51.9,36.0,15.0
"MSTY:45%, JEPQ:25%, SCHD:15%, SCHY:15%",68.7,51.3,36.0,15.1
"MSTY:45%, JEPQ:25%, SCHD:20%, SCHY:10%",68.0,50.7,36.1,15.2
"MSTY:45%, JEPQ:25%, SCHD:25%, SCHY:5%",67.4,50.1,36.1,15.2
"MSTY:45%, JEPQ:25%, SCHD:30%, SCHY:0%",66.8,49.5,36.2,15.3
"MSTY:45%, JEPQ:30%, SCHD:0%, SCHY:25%",70.1,52.7,36.1,14.9
"MSTY:45%, JEPQ:30%, SCHD:5%, SCHY:20%",69.5,52.1,36.1,14.9
"MSTY:45%, JEPQ:30%, SCHD:10%, SCHY:15%",68.9,51.5,36.1,15.0
"MSTY:45%, JEPQ:30%, SCHD:15%, SCHY:10%",68.2,50.9,36.2,15.1
"MSTY:45%, JEPQ:30%, SCHD:20%, SCHY:5%",67.6,50.3,36.2,15.1
"MSTY:45%, JEPQ:30%, SCHD:25%, SCHY:0%",67.0,49.7,36.3,15.2
"MSTY:45%, JEPQ:35%, SCHD:0%, SCHY:20%",69.7,52.3,36.2,14.8
"MSTY:45%, JEPQ:35%, SCHD:5%, SCHY:15%",69.0,51.7,36.3,14.9
"MSTY:45%, JEPQ:35%, SCHD:10%, SCHY:10%",68.4,51.1,36.3,15.0
"MSTY:45%, JEPQ:35%, SCHD:15%, SCHY:5%",67.8,50.5,36.3,15.0
"MSTY:45%, JEPQ:35%, SCHD:20%, SCHY:0%",67.2,49.9,36.4,15.1
"MSTY:45%, JEPQ:40%, SCHD:0%, SCHY:15%",69.2,51.9,36.4,14.8
"MSTY:45%, JEPQ:40%, SCHD:5%, SCHY:10%",68.6,51.3,36.4,14.9
"MSTY:45%, JEPQ:40%, SCHD:10%, SCHY:5%",68.0,50.7,36.4,14.9
"MSTY:45%, JEPQ:40%, SCHD:15%, SCHY:0%",67.4,50.1,36.5,15.0
"MSTY:45%, JEPQ:45%, SCHD:0%, SCHY:10%",68.8,51.5,36.5,14.8
"MSTY:45%, JEPQ:45%, SCHD:5%, SCHY:5%",68.2,50.9,36.6,14.8
"MSTY:45%, JEPQ:45%, SCHD:10%, SCHY:0%",67.6,50.3,36.6,14.9
"MSTY:45%, JEPQ:50%, SCHD:0%, SCHY:5%",68.4,51.1,36.7,14.7
"MSTY:45%, JEPQ:50%, SCHD:5%, SCHY:0%",67.8,50.5,36.8,14.8
"MSTY:45%, JEPQ:55%, SCHD:0%, SCHY:0%",68.0,50.7,36.9,14.7
"MSTY:50%, JEPQ:0%, SCHD:0%, SCHY:50%",78.5,61.2,38.7,16.1
"MSTY:50%, JEPQ:0%, SCHD:5%, SCHY:45%",77.9,60.6,38.6,16.2
"MSTY:50%, JEPQ:0%, SCHD:10%, SCHY:40%",77.3,60.0,38.6,16.3
"MSTY:50%, JEPQ:0%, SCHD:15%, SCHY:35%",76.7,59.4,38.6,16.3
"MSTY:50%, JEPQ:0%, SCHD:20%, SCHY:30%",76.1,58.8,38.6,16.4
"MSTY:50%, JEPQ:0%, SCHD:25%, SCHY:25%",75.5,58.1,38.6,16.4
"MSTY:50%, JEPQ:0%, SCHD:30%, SCHY:20%",74.9,57.5,38.6,16.5
"MSTY:50%, JEPQ:0%, SCHD:35%, SCHY:15%",74.3,56.9,38.7,16.6
"MSTY:50%, JEPQ:0%, SCHD:40%, SCHY:10%",73.6,56.3,38.7,16.6
"MSTY:50%, JEPQ:0%, SCHD:45%, SCHY:5%",73.0,55.7,38.7,16.7
"MSTY:50%, JEPQ:0%, SCHD:50%, SCHY:0%",72.4,55.1,38.8,16.7
"MSTY:50%, JEPQ:5%, SCHD:0%, SCHY:45%",78.1,60.8,38.7,16.1
"MSTY:50%, JEPQ:5%, SCHD:5%, SCHY:40%",77.5,60.2,38.7,16.2
"MSTY:50%, JEPQ:5%, SCHD:10%, SCHY:35%",76.9,59.6,38.7,16.2
"MSTY:50%, JEPQ:5%, SCHD:15%, SCHY:30%",76.3,59.0,38.7,16.3
"MSTY:50%, JEPQ:5%, SCHD:20%, SCHY:25%",75.7,58.3,38.7,16.3
"MSTY:50%, JEPQ:5%, SCHD:25%, SCHY:20%",75.1,57.7,38.7,16.4
"MSTY:50%, JEPQ:5%, SCHD:30%, SCHY:15%",74.5,57.1,38.7,16.5
"MSTY:50%, JEPQ:5%, SCHD:35%, SCHY:10%",73.8,56.5,38.7,16.5
"MSTY:50%, JEPQ:5%, SCHD:40%, SCHY:5%",73.2,55.9,38.8,16.6
"MSTY:50%, JEPQ:5%, SCHD:45%, SCHY:0%",72.6,55.3,38.8,16.6
"MSTY:50%, JEPQ:10%, SCHD:0%, SCHY:40%",77.7,60.4,38.7,16.1
"MSTY:50%, JEPQ:10%, SCHD:5%, SCHY:35%",77.1,59.8,38.7,16.1
"MSTY:50%, JEPQ:10%, SCHD:10%, SCHY:30%",76.5,59.2,38.7,16.2
"MSTY:50%, JEPQ:10%, SCHD:15%, SCHY:25%",75.9,58.5,38.7,16.3
"MSTY:50%, JEPQ:10%, SCHD:20%, SCHY:20%",75.3,57.9,38.7,16.3
"MSTY:50%, JEPQ:10%, SCHD:25%, SCHY:15%",74.6,57.3,38.8,16.4
"MSTY:50%, JEPQ:10%, SCHD:30%, SCHY:10%",74.0,56.7,38.8,16.4
"MSTY:50%, JEPQ:10%, SCHD:35%, SCHY:5%",73.4,56.1,38.8,16.5
"MSTY:50%, JEPQ:10%, SCHD:40%, SCHY:0%",72.8,55.5,38.9,16.6
"MSTY:50%, JEPQ:15%, SCHD:0%, SCHY:35%",77.3,60.0,38.8,16.0
"MSTY:50%, JEPQ:15%, SCHD:5%, SCHY:30%",76.7,59.3,38.8,16.1
"MSTY:50%, JEPQ:15%, SCHD:10%, SCHY:25%",76.1,58.7,38.8,16.2
"MSTY:50%, JEPQ:15%, SCHD:15%, SCHY:20%",75.5,58.1,38.8,16.2
"MSTY:50%, JEPQ:15%, SCHD:20%, SCHY:15%",74.8,57.5,38.8,16.3
"MSTY:50%, JEPQ:15%, SCHD:25%, SCHY:10%",74.2,56.9,38.9,16.3
"MSTY:50%, JEPQ:15%, SCHD:30%, SCHY:5%",73.6,56.3,38.9,16.4
"MSTY:50%, JEPQ:15%, SCHD:35%, SCHY:0%",73.0,55.7,39.0,16.5
"MSTY:50%, JEPQ:20%, SCHD:0%, SCHY:30%",76.9,59.5,38.9,16.0
"MSTY:50%, JEPQ:20%, SCHD:5%, SCHY:25%",76.3,58.9,38.9,16.1
"MSTY:50%, JEPQ:20%, SCHD:10%, SCHY:20%",75.6,58.3,38.9,16.1
"MSTY:50%, JEPQ:20%, SCHD:15%, SCHY:15%",75.0,57.7,38.9,16.2
"MSTY:50%, JEPQ:20%, SCHD:20%, SCHY:10%",74.4,57.1,39.0,16.2
"MSTY:50%, JEPQ:20%, SCHD:25%, SCHY:5%",73.8,56.5,39.0,16.3
"MSTY:50%, JEPQ:20%, SCHD:30%, SCHY:0%",73.2,55.9,39.0,16.4
"MSTY:50%, JEPQ:25%, SCHD:0%, SCHY:25%",76.5,59.1,39.0,16.0
"MSTY:50%, JEPQ:25%, SCHD:5%, SCHY:20%",75.8,58.5,39.0,16.0
"MSTY:50%, JEPQ:25%, SCHD:10%, SCHY:15%",75.2,57.9,39.0,16.1
"MSTY:50%, JEPQ:25%, SCHD:15%, SCHY:10%",74.6,57.3,39.0,16.2
"MSTY:50%, JEPQ:25%, SCHD:20%, SCHY:5%",74.0,56.7,39.1,16.2
"MSTY:50%, JEPQ:25%, SCHD:25%, SCHY:0%",73.4,56.1,39.1,16.3
"MSTY:50%, JEPQ:30%, SCHD:0%, SCHY:20%",76.0,58.7,39.1,15.9
"MSTY:50%, JEPQ:30%, SCHD:5%, SCHY:15%",75.4,58.1,39.1,16.0
"MSTY:50%, JEPQ:30%, SCHD:10%, SCHY:10%",74.8,57.5,39.1,16.1
"MSTY:50%, JEPQ:30%, SCHD:15%, SCHY:5%",74.2,56.9,39.2,16.1
"MSTY:50%, JEPQ:30%, SCHD:20%, SCHY:0%",73.6,56.3,39.2,16.2
"MSTY:50%, JEPQ:35%, SCHD:0%, SCHY:15%",75.6,58.3,39.2,15.9
"MSTY:50%, JEPQ:35%, SCHD:5%, SCHY:10%",75.0,57.7,39.3,16.0
"MSTY:50%, JEPQ:35%, SCHD:10%, SCHY:5%",74.4,57.1,39.3,16.0
"MSTY:50%, JEPQ:35%, SCHD:15%, SCHY:0%",73.8,56.5,39.3,16.1
"MSTY:50%, JEPQ:40%, SCHD:0%, SCHY:10%",75.2,57.9,39.4,15.9
"MSTY:50%, JEPQ:40%, SCHD:5%, SCHY:5%",74.6,57.3,39.4,15.9
"MSTY:50%, JEPQ:40%, SCHD:10%, SCHY:0%",74.0,56.6,39.5,16.0
"MSTY:50%, JEPQ:45%, SCHD:0%, SCHY:5%",74.8,57.5,39.6,15.8
"MSTY:50%, JEPQ:45%, SCHD:5%, SCHY:0%",74.2,56.8,39.6,15.9
"MSTY:50%, JEPQ:50%, SCHD:0%, SCHY:0%",74.4,57.0,39.7,15.8
"MSTY:55%, JEPQ:0%, SCHD:0%, SCHY:45%",84.5,67.1,41.5,17.1
"MSTY:55%, JEPQ:0%, SCHD:5%, SCHY:40%",83.9,66.5,41.5,17.2
"MSTY:55%, JEPQ:0%, SCHD:10%, SCHY:35%",83.3,65.9,41.5,17.2
"MSTY:55%, JEPQ:0%, SCHD:15%, SCHY:30%",82.6,65.3,41.5,17.3
"MSTY:55%, JEPQ:0%, SCHD:20%, SCHY:25%",82.0,64.7,41.5,17.4
"MSTY:55%, JEPQ:0%, SCHD:25%, SCHY:20%",81.4,64.1,41.5,17.4
"MSTY:55%, JEPQ:0%, SCHD:30%, SCHY:15%",80.8,63.5,41.5,17.5
"MSTY:55%, JEPQ:0%, SCHD:35%, SCHY:10%",80.2,62.9,41.5,17.5
"MSTY:55%, JEPQ:0%, SCHD:40%, SCHY:5%",79.6,62.3,41.6,17.6
"MSTY:55%, JEPQ:0%, SCHD:45%, SCHY:0%",79.0,61.7,41.6,17.6
"MSTY:55%, JEPQ:5%, SCHD:0%, SCHY:40%",84.1,66.7,41.5,17.1
"MSTY:55%, JEPQ:5%, SCHD:5%, SCHY:35%",83.4,66.1,41.5,17.2
"MSTY:55%, JEPQ:5%, SCHD:10%, SCHY:30%",82.8,65.5,41.5,17.2
"MSTY:55%, JEPQ:5%, SCHD:15%, SCHY:25%",82.2,64.9,41.5,17.3
"MSTY:55%, JEPQ:5%, SCHD:20%, SCHY:20%",81.6,64.3,41.5,17.3
"MSTY:55%, JEPQ:5%, SCHD:25%, SCHY:15%",81.0,63.7,41.6,17.4
"MSTY:55%, JEPQ:5%, SCHD:30%, SCHY:10%",80.4,63.1,41.6,17.4
"MSTY:55%, JEPQ:5%, SCHD:35%, SCHY:5%",79.8,62.5,41.6,17.5
"MSTY:55%, JEPQ:5%, SCHD:40%, SCHY:0%",79.2,61.8,41.7,17.5
"MSTY:55%, JEPQ:10%, SCHD:0%, SCHY:35%",83.6,66.3,41.6,17.1
"MSTY:55%, JEPQ:10%, SCHD:5%, SCHY:30%",83.0,65.7,41.6,17.1
"MSTY:55%, JEPQ:10%, SCHD:10%, SCHY:25%",82.4,65.1,41.6,17.2
"MSTY:55%, JEPQ:10%, SCHD:15%, SCHY:20%",81.8,64.5,41.6,17.2
"MSTY:55%, JEPQ:10%, SCHD:20%, SCHY:15%",81.2,63.9,41.6,17.3
"MSTY:55%, JEPQ:10%, SCHD:25%, SCHY:10%",80.6,63.3,41.7,17.3
"MSTY:55%, JEPQ:10%, SCHD:30%, SCHY:5%",80.0,62.7,41.7,17.4
"MSTY:55%, JEPQ:10%, SCHD:35%, SCHY:0%",79.4,62.0,41.7,17.5
"MSTY:55%, JEPQ:15%, SCHD:0%, SCHY:30%",83.2,65.9,41.7,17.0
"MSTY:55%, JEPQ:15%, SCHD:5%, SCHY:25%",82.6,65.3,41.7,17.1
"MSTY:55%, JEPQ:15%, SCHD:10%, SCHY:20%",82.0,64.7,41.7,17.1
"MSTY:55%, JEPQ:15%, SCHD:15%, SCHY:15%",81.4,64.1,41.7,17.2
"MSTY:55%, JEPQ:15%, SCHD:20%, SCHY:10%",80.8,63.5,41.7,17.3
"MSTY:55%, JEPQ:15%, SCHD:25%, SCHY:5%",80.2,62.8,41.8,17.3
"MSTY:55%, JEPQ:15%, SCHD:30%, SCHY:0%",79.6,62.2,41.8,17.4
"MSTY:55%, JEPQ:20%, SCHD:0%, SCHY:25%",82.8,65.5,41.8,17.0
"MSTY:55%, JEPQ:20%, SCHD:5%, SCHY:20%",82.2,64.9,41.8,17.0
"MSTY:55%, JEPQ:20%, SCHD:10%, SCHY:15%",81.6,64.3,41.8,17.1
"MSTY:55%, JEPQ:20%, SCHD:15%, SCHY:10%",81.0,63.6,41.8,17.2
"MSTY:55%, JEPQ:20%, SCHD:20%, SCHY:5%",80.4,63.0,41.8,17.2
"MSTY:55%, JEPQ:20%, SCHD:25%, SCHY:0%",79.8,62.4,41.9,17.3
"MSTY:55%, JEPQ:25%, SCHD:0%, SCHY:20%",82.4,65.1,41.9,17.0
"MSTY:55%, JEPQ:25%, SCHD:5%, SCHY:15%",81.8,64.5,41.9,17.0
"MSTY:55%, JEPQ:25%, SCHD:10%, SCHY:10%",81.2,63.8,41.9,17.1
"MSTY:55%, JEPQ:25%, SCHD:15%, SCHY:5%",80.6,63.2,41.9,17.1
"MSTY:55%, JEPQ:25%, SCHD:20%, SCHY:0%",80.0,62.6,42.0,17.2
"MSTY:55%, JEPQ:30%, SCHD:0%, SCHY:15%",82.0,64.6,42.0,16.9
"MSTY:55%, JEPQ:30%, SCHD:5%, SCHY:10%",81.4,64.0,42.0,17.0
"MSTY:55%, JEPQ:30%, SCHD:10%, SCHY:5%",80.8,63.4,42.0,17.0
"MSTY:55%, JEPQ:30%, SCHD:15%, SCHY:0%",80.1,62.8,42.1,17.1
"MSTY:55%, JEPQ:35%, SCHD:0%, SCHY:10%",81.6,64.2,42.1,16.9
"MSTY:55%, JEPQ:35%, SCHD:5%, SCHY:5%",81.0,63.6,42.2,16.9
"MSTY:55%, JEPQ:35%, SCHD:10%, SCHY:0%",80.3,63.0,42.2,17.0
"MSTY:55%, JEPQ:40%, SCHD:0%, SCHY:5%",81.1,63.8,42.3,16.9
"MSTY:55%, JEPQ:40%, SCHD:5%, SCHY:0%",80.5,63.2,42.3,16.9
"MSTY:55%, JEPQ:45%, SCHD:0%, SCHY:0%",80.7,63.4,42.5,16.8
"MSTY:60%, JEPQ:0%, SCHD:0%, SCHY:40%",90.4,73.1,44.2,18.1
"MSTY:60%, JEPQ:0%, SCHD:5%, SCHY:35%",89.8,72.5,44.2,18.1
"MSTY:60%, JEPQ:0%, SCHD:10%, SCHY:30%",89.2,71.8,44.2,18.2
"MSTY:60%, JEPQ:0%, SCHD:15%, SCHY:25%",88.6,71.2,44.2,18.2
"MSTY:60%, JEPQ:0%, SCHD:20%, SCHY:20%",88.0,70.6,44.2,18.3
"MSTY:60%, JEPQ:0%, SCHD:25%, SCHY:15%",87.4,70.0,44.2,18.3
"MSTY:60%, JEPQ:0%, SCHD:30%, SCHY:10%",86.7,69.4,44.3,18.4
"MSTY:60%, JEPQ:0%, SCHD:35%, SCHY:5%",86.1,68.8,44.3,18.4
"MSTY:60%, JEPQ:0%, SCHD:40%, SCHY:0%",85.5,68.2,44.3,18.5
"MSTY:60%, JEPQ:5%, SCHD:0%, SCHY:35%",90.0,72.6,44.3,18.0
"MSTY:60%, JEPQ:5%, SCHD:5%, SCHY:30%",89.4,72.0,44.3,18.1
"MSTY:60%, JEPQ:5%, SCHD:10%, SCHY:25%",88.8,71.4,44.3,18.1
"MSTY:60%, JEPQ:5%, SCHD:15%, SCHY:20%",88.2,70.8,44.3,18.2
"MSTY:60%, JEPQ:5%, SCHD:20%, SCHY:15%",87.5,70.2,44.3,18.2
"MSTY:60%, JEPQ:5%, SCHD:25%, SCHY:10%",86.9,69.6,44.3,18.3
"MSTY:60%, JEPQ:5%, SCHD:30%, SCHY:5%",86.3,69.0,44.4,18.3
"MSTY:60%, JEPQ:5%, SCHD:35%, SCHY:0%",85.7,68.4,44.4,18.4
"MSTY:60%, JEPQ:10%, SCHD:0%, SCHY:30%",89.6,72.2,44.3,18.0
"MSTY:60%, JEPQ:10%, SCHD:5%, SCHY:25%",89.0,71.6,44.4,18.0
"MSTY:60%, JEPQ:10%, SCHD:10%, SCHY:20%",88.3,71.0,44.4,18.1
"MSTY:60%, JEPQ:10%, SCHD:15%, SCHY:15%",87.7,70.4,44.4,18.1
"MSTY:60%, JEPQ:10%, SCHD:20%, SCHY:10%",87.1,69.8,44.4,18.2
"MSTY:60%, JEPQ:10%, SCHD:25%, SCHY:5%",86.5,69.2,44.4,18.2
"MSTY:60%, JEPQ:10%, SCHD:30%, SCHY:0%",85.9,68.6,44.5,18.3
"MSTY:60%, JEPQ:15%, SCHD:0%, SCHY:25%",89.1,71.8,44.4,17.9
"MSTY:60%, JEPQ:15%, SCHD:5%, SCHY:20%",88.5,71.2,44.4,18.0
"MSTY:60%, JEPQ:15%, SCHD:10%, SCHY:15%",87.9,70.6,44.5,18.1
"MSTY:60%, JEPQ:15%, SCHD:15%, SCHY:10%",87.3,70.0,44.5,18.1
"MSTY:60%, JEPQ:15%, SCHD:20%, SCHY:5%",86.7,69.4,44.5,18.2
"MSTY:60%, JEPQ:15%, SCHD:25%, SCHY:0%",86.1,68.8,44.6,18.2
"MSTY:60%, JEPQ:20%, SCHD:0%, SCHY:20%",88.7,71.4,44.5,17.9
"MSTY:60%, JEPQ:20%, SCHD:5%, SCHY:15%",88.1,70.8,44.6,18.0
"MSTY:60%, JEPQ:20%, SCHD:10%, SCHY:10%",87.5,70.2,44.6,18.0
"MSTY:60%, JEPQ:20%, SCHD:15%, SCHY:5%",86.9,69.6,44.6,18.1
"MSTY:60%, JEPQ:20%, SCHD:20%, SCHY:0%",86.3,69.0,44.6,18.1
"MSTY:60%, JEPQ:25%, SCHD:0%, SCHY:15%",88.3,71.0,44.7,17.9
"MSTY:60%, JEPQ:25%, SCHD:5%, SCHY:10%",87.7,70.4,44.7,17.9
"MSTY:60%, JEPQ:25%, SCHD:10%, SCHY:5%",87.1,69.8,44.7,18.0
"MSTY:60%, JEPQ:25%, SCHD:15%, SCHY:0%",86.5,69.2,44.7,18.0
"MSTY:60%, JEPQ:30%, SCHD:0%, SCHY:10%",87.9,70.6,44.8,17.8
"MSTY:60%, JEPQ:30%, SCHD:5%, SCHY:5%",87.3,70.0,44.8,17.9
"MSTY:60%, JEPQ:30%, SCHD:10%, SCHY:0%",86.7,69.4,44.9,17.9
"MSTY:60%, JEPQ:35%, SCHD:0%, SCHY:5%",87.5,70.2,44.9,17.8
"MSTY:60%, JEPQ:35%, SCHD:5%, SCHY:0%",86.9,69.6,45.0,17.9
"MSTY:60%, JEPQ:40%, SCHD:0%, SCHY:0%",87.1,69.7,45.1,17.8
"MSTY:65%, JEPQ:0%, SCHD:0%, SCHY:35%",96.3,79.0,46.9,18.9
"MSTY:65%, JEPQ:0%, SCHD:5%, SCHY:30%",95.7,78.4,46.9,19.0
"MSTY:65%, JEPQ:0%, SCHD:10%, SCHY:25%",95.1,77.8,46.9,19.0
"MSTY:65%, JEPQ:0%, SCHD:15%, SCHY:20%",94.5,77.1,46.9,19.1
"MSTY:65%, JEPQ:0%, SCHD:20%, SCHY:15%",93.9,76.5,46.9,19.1
"MSTY:65%, JEPQ:0%, SCHD:25%, SCHY:10%",93.3,75.9,46.9,19.2
"MSTY:65%, JEPQ:0%, SCHD:30%, SCHY:5%",92.7,75.3,46.9,19.2
"MSTY:65%, JEPQ:0%, SCHD:35%, SCHY:0%",92.0,74.7,47.0,19.2
"MSTY:65%, JEPQ:5%, SCHD:0%, SCHY:30%",95.9,78.6,46.9,18.9
"MSTY:65%, JEPQ:5%, SCHD:5%, SCHY:25%",95.3,77.9,46.9,18.9
"MSTY:65%, JEPQ:5%, SCHD:10%, SCHY:20%",94.7,77.3,46.9,19.0
"MSTY:65%, JEPQ:5%, SCHD:15%, SCHY:15%",94.1,76.7,47.0,19.0
"MSTY:65%, JEPQ:5%, SCHD:20%, SCHY:10%",93.5,76.1,47.0,19.1
"MSTY:65%, JEPQ:5%, SCHD:25%, SCHY:5%",92.8,75.5,47.0,19.1
"MSTY:65%, JEPQ:5%, SCHD:30%, SCHY:0%",92.2,74.9,47.1,19.2
